Cevich	http://www.yelp.com/biz/cevich-new-york?osq=cheap+eats	$$	42	Seafood	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=seafood	0.1
TRI Mexican Tacos	http://www.yelp.com/biz/tri-mexican-tacos-new-york?osq=cheap+eats	$	9	Food Stands	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=foodstands	0.2
The Cellar	http://www.yelp.com/biz/the-cellar-new-york?osq=cheap+eats	$$	248	Wine Bars	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=wine_bars	0.2
Food Depot	http://www.yelp.com/biz/food-depot-new-york?osq=cheap+eats	$	25	Grocery	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=grocery	0.1
Spice	http://www.yelp.com/biz/spice-new-york?osq=cheap+eats	$$	948	Thai	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=thai	0.2
Laut	http://www.yelp.com/biz/laut-new-york?osq=cheap+eats	$$	525	Thai	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=thai	0.1
Bravo Pizza	http://www.yelp.com/biz/bravo-pizza-new-york-9?osq=cheap+eats	$	49	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.3
Heartland Brewery	http://www.yelp.com/biz/heartland-brewery-new-york-3?osq=cheap+eats	$$	426	Bars	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=bars	0.1
Vanessa's Dumpling	http://www.yelp.com/biz/vanessas-dumpling-new-york?osq=cheap+eats	$	499	Japanese	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=japanese	0.4
Souen	http://www.yelp.com/biz/souen-new-york-3?osq=cheap+eats	$$	265	Vegetarian	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=vegetarian	0.2
Petite Abeille	http://www.yelp.com/biz/petite-abeille-new-york-3?osq=cheap+eats	$$	705	Breakfast & Brunch	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=breakfast_brunch	0.2
Morris Grilled Cheese Truck	http://www.yelp.com/biz/morris-grilled-cheese-truck-brooklyn?osq=cheap+eats	$	63	Street Vendors	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=streetvendors	0.2
Vapiano	http://www.yelp.com/biz/vapiano-new-york-2?osq=cheap+eats	$$	485	Italian	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=italian	0.2
Pizza Paradise	http://www.yelp.com/biz/pizza-paradise-new-york?osq=cheap+eats	$	20	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.1
Bravo Pizza	http://www.yelp.com/biz/bravo-pizza-new-york-4?osq=cheap+eats	$	66	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.2
Glaze Teriyaki Grill	http://www.yelp.com/biz/glaze-teriyaki-grill-new-york-2?osq=cheap+eats	$	97	Japanese	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=japanese	0.3
Mapi Espresso And Sandwich Bar	http://www.yelp.com/biz/mapi-espresso-and-sandwich-bar-new-york?osq=cheap+eats	$	32	Coffee & Tea	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=coffee	0.2
Coffee Shop	http://www.yelp.com/biz/coffee-shop-new-york-2?osq=cheap+eats	$$	864	Brazilian	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=brazilian	0.1
Kelvin Natural Slush Co.	http://www.yelp.com/biz/kelvin-natural-slush-co-new-york?osq=cheap+eats	$	156	Food Stands	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=foodstands	0.3
Taboonette	http://www.yelp.com/biz/taboonette-new-york?osq=cheap+eats	$$	127	Mediterranean	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=mediterranean	0.2
Express Manna Kitchen	http://www.yelp.com/biz/express-manna-kitchen-new-york?osq=cheap+eats	$$	117	Korean	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=korean	0.2
Famous Ben's Pizza	http://www.yelp.com/biz/famous-bens-pizza-new-york-2?osq=cheap+eats	$	37	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.1
Wendy's	http://www.yelp.com/biz/wendys-new-york-2?osq=cheap+eats	$	17	Fast Food	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=hotdogs	0.1
Pizza Vinoteca	http://www.yelp.com/biz/pizza-vinoteca-manhattan?osq=cheap+eats	$$	50	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.1
Qi	http://www.yelp.com/biz/qi-new-york?osq=cheap+eats	$$	365	Thai	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=thai	0.2
Teriyaki Express and Sushi	http://www.yelp.com/biz/teriyaki-express-and-sushi-manhattan?osq=cheap+eats	$	22	Japanese	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=japanese	0.4
The Grey Dog's Coffee	http://www.yelp.com/biz/the-grey-dogs-coffee-new-york-3?osq=cheap+eats	$$	519	Coffee & Tea	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=coffee	0.2
Body and Soul	http://www.yelp.com/biz/body-and-soul-manhattan?osq=cheap+eats	$	27	Street Vendors	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=streetvendors	0.1
Morocho Peruvian Fusion	http://www.yelp.com/biz/morocho-peruvian-fusion-new-york?osq=cheap+eats	$	14	Street Vendors	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=streetvendors	0.1
Sophie's Cuban Cuisine	http://www.yelp.com/biz/sophies-cuban-cuisine-new-york-4?osq=cheap+eats	$	137	Cuban	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=cuban	0.3
Rye House	http://www.yelp.com/biz/rye-house-new-york?osq=cheap+eats	$$	335	Bars	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=bars	0.1
Little Italy Pizza	http://www.yelp.com/biz/little-italy-pizza-new-york-15?osq=cheap+eats	$	15	Pizza	http://www.yelp.com/search?find_desc=cheap+eats&find_loc=6+East+16th+Street%2C+New+York%2C+NY+10003&cflt=pizza	0.2
